year,month,day,hour,created,source,favoriteCount,retweetCount,picture,exclamation,hashtag
2016,12,9,14,12/9/2016 19:42,iPhone,23105,5365,Picture/link,Yes,No
2016,12,8,22,12/9/2016 3:02,iPhone,40817,9446,Picture/link,Yes,Yes
2016,12,8,18,12/8/2016 23:12,iPhone,21087,5915,Picture/link,Yes,Yes
2016,12,8,17,12/8/2016 22:55,iPhone,21927,4088,Picture/link,Yes,Yes
2016,12,8,16,12/8/2016 21:15,iPhone,95677,20239,No picture/link,No,No
2016,12,7,20,12/8/2016 1:56,Android,57504,14099,No picture/link,No,No
2016,12,7,19,12/8/2016 0:41,Android,50047,12860,No picture/link,Yes,No
2016,12,7,14,12/7/2016 19:37,iPhone,27369,6342,Picture/link,Yes,Yes
2016,12,7,13,12/7/2016 18:38,iPhone,77437,18625,Picture/link,No,No
2016,12,7,7,12/7/2016 12:18,Android,32307,5356,No picture/link,Yes,No
2016,12,6,22,12/7/2016 3:33,iPhone,36349,7681,Picture/link,Yes,Yes
2016,12,6,16,12/6/2016 21:17,iPhone,70551,14229,Picture/link,Yes,No
2016,12,6,11,12/6/2016 16:45,iPhone,26859,6548,Picture/link,Yes,Yes
